,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
OSBPL10,OSBPL10,0.0837905013333353,8.03320384366667,1.03085084767735,0.320239903293282,0.476255853014287,-6.98099892467774
KCTD2,KCTD2,-0.0201251006666645,7.301709526,-0.259783949608789,0.798844172186233,0.873289160334513,-7.49225525238002
MSTO1,MSTO1,0.081825186333333,6.9776622405,1.01471947304854,0.327602241105223,0.483674770078852,-6.99739673663883
EGFR,EGFR,-0.232720259,6.83228507616667,-2.86247225027067,0.0126261892521132,0.0357594094547987,-4.08896236437417
Septin 6,Septin 6,0.114910975000001,6.58617103783333,1.20656848405279,0.247761307945542,0.395804062209904,-6.78837404447301
ANKRD13C,ANKRD13C,0.0226274736666685,7.13971707116667,0.247718096862835,0.807979521650959,0.879249767293337,-7.495513095675
FLJ40330,FLJ40330,0.0637740493333352,6.736732604,0.64546920297992,0.529149699579279,0.672694796072978,-7.30883534099852
FAM188B,FAM188B,-0.196258233,6.83297073583333,-2.40208641020257,0.0308817233716024,0.0758193063619688,-4.95063702514152
ERCC-00099,ERCC-00099,0.113191305666668,6.8171573805,1.48675863708671,0.159438938071063,0.285523932436748,-6.43213535060139
MIR518E,MIR518E,0.127646769666666,6.73352544483333,1.31770160344024,0.208939778397678,0.349915773331107,-6.65393371459822
ZNF638,ZNF638,0.0138988080000013,7.22994758033333,0.181408795408237,0.858669163402318,0.91267200852391,-7.51067085609276
RNF166,RNF166,-0.0472495006666671,6.94756467733333,-0.500014869730708,0.624898049245208,0.749831129083137,-7.39579868400365
CCDC36,CCDC36,0.111820666333335,6.7551747635,1.13249032057739,0.276613631543924,0.428309264696646,-6.87265103240095
TMEM20,TMEM20,0.0629799553333337,7.01325169766667,0.839585711759792,0.415368268635836,0.570583667475034,-7.16074725272796
CAND1,CAND1,0.0307306860000036,8.83060731566667,0.390814862802343,0.701867018518632,0.80549114922234,-7.44704903789498
TRNP1,TRNP1,0.0588795050000019,7.36046178383333,0.597770789658664,0.559620298221039,0.697604417391765,-7.33966962338891
THAP8,THAP8,-0.214651592333332,6.68302147383333,-2.86959512596569,0.0124505027030988,0.0353083767814232,-4.0752755713167
XYLT2,XYLT2,-0.140654844333332,9.76559702916667,-1.64092287006374,0.123269826860761,0.234221755031531,-6.21319094371052
XKR8,XKR8,0.0725900500000014,7.25900373033333,0.930467107709057,0.368030877190951,0.524414670957214,-7.07938095375992
SFRS8,SFRS8,-0.154907963999998,8.21040449466667,-1.93730640733094,0.0733297601472918,0.15502906982927,-5.75330815222313
MIR561,MIR561,0.126489076333334,6.87651345083333,1.30302784859839,0.213768246780603,0.355600030644585,-6.67221925827023
ANO8,ANO8,-0.145779761333333,7.01155416966667,-1.51934026802658,0.151123877571925,0.274213797277587,-6.38713357637163
PTPRT,PTPRT,0.154597967666668,6.9354045595,2.02757347467425,0.0622529389687583,0.135522608778323,-5.6043546694082
NEURL4,NEURL4,0.123160836333335,7.2344163695,1.32386467098848,0.206938126409848,0.347647423205077,-6.64620621705846
